,Tweets,Time,loc
0,Sabse pyara kon hai? Papa Mere Papa ❤️ https://t.co/3PRS5KQUWM,2022-06-19 09:21:45+00:00,Your Business + TCC Brain = 💰
1,"Mothers are not fathers.
Fathers are fathers and mothers are mothers.
Celebrate your father today, if you want to c… https://t.co/WzKZQ1rAqP",2022-06-19 09:21:46+00:00,"Ibadan, Nigeria"
2,Happy Fathers Day to all fathers and the fathers at St. Peter’s #fathersday https://t.co/yXWHtpYcHF,2022-06-19 09:21:46+00:00,"Manchester, UK"
3,"“Like as a father pitieth his children, So the LORD pitieth them that fear him.”
Psalm 103:13 KJV https://t.co/a8uNdO4T0D",2022-06-19 09:21:46+00:00,"Bossier City, LA"
4,"RT @Upsydaizy28: I told my father I’d like to intern with GTBank when I was in Uni, my father drove from Akure to Oyin Jolayemi (VI), asked…",2022-06-19 09:21:46+00:00,
5,@AdwoaKitkat @bra_melo_ @aqcosua_n @AddyMavis @Efua_ampofoa @akuahwritess @morrszn fathers day then you post you ei,2022-06-19 09:21:46+00:00,next time 
6,RT @Thapa4INC: Happy fathers day to all the fathers here🙏 https://t.co/X2If83QjxV,2022-06-19 09:21:46+00:00,Global
7,"RT @braidedeo: Many, MANY more",2022-06-19 09:21:46+00:00,
8,"Happy father's day to every responsible dad out there, we love you all!🥰",2022-06-19 09:21:46+00:00,Zombie Nation💀
9,"@GreatUshe @zandatoto @ameliabhebhe Dai ndarara mu bedha uyo tv would b ku makumbo 

Zvisinei handiise hangu tv mu… https://t.co/rFW0WDYsq1",2022-06-19 09:21:46+00:00,"England, United Kingdom"
10,RT @TRHLofficial: “Without the encouragement of your father the world is a dismal place. It is difficult to be a courageous person unless y…,2022-06-19 09:21:46+00:00,"Houston, TX"
11,@_Vaishnavi33328 Happy fathers day..😊🥰🙏🏻 https://t.co/c9oWzXimSK,2022-06-19 09:21:46+00:00,
12,RT @AfyaCentreCrew: Leave a special message for your dad her👇,2022-06-19 09:21:47+00:00,
13,"""En 2001, j'ai eu le décès de mon papa et il m'a dit : 'Part au Brésil et reste le temps qu'il faut'. Il m'a pas lâ… https://t.co/SQ6jBXkpSn",2022-06-19 09:21:46+00:00,Paris
14,"Father's day not boyfriend's day🤦‍♀️
Some gals are stupid sha💔.",2022-06-19 09:21:47+00:00,
15,RT @Nanakwameflex3: Happy Father’s Day To Myself ❤️ https://t.co/frX7MmdLD3,2022-06-19 09:21:47+00:00,"Tema, Ghana"
16,- happy fathers day 💐,2022-06-19 09:21:47+00:00,Cibeles
17,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:21:47+00:00,🇺🇸🇳🇬 
18,Happy Fathers Day . Here’s our song about getting dressed up and being taken out somewhere special. Let’s hope that… https://t.co/d7gv3U5Ebs,2022-06-19 09:21:47+00:00,Sheffield UK
19,"my dad greets me with a Firm Handshake

A hug says “I love you,” but a firm, business-like handshake says “Pleasure… https://t.co/WHprTHBpD6",2022-06-19 09:21:47+00:00,
20,RT @omwambaKE: Crazy how we are all posting our father's yet they have Mulika mwizi.,2022-06-19 09:21:47+00:00,Ibanda
21,RT @xJorgieCx: I think we should give Boris a Father’s Day present of everyone tweeting him #resignnow what do u think? I’m sure he love it,2022-06-19 09:21:47+00:00,"London, England"
22,"RT @carlafrancome: Happy #FathersDay to all the dads out there!

To mark the day, here’s a mega Dad we met yesterday, Andreas, with his son…",2022-06-19 09:21:47+00:00,"Tāmaki Makaurau, Aotearoa"
23,"Happy Father's Day 💙✨ 
#FathersDay #FathersDay2022 https://t.co/bGLcF3ttRc",2022-06-19 09:21:47+00:00,Born 30 July
24,"My biggest support system are my parents!
You see that my father, he doesn’t want to me sweat at all!
If I’m crying… https://t.co/SBRoURk8bu",2022-06-19 09:21:48+00:00,"Lagos, Nigeria"
25,"RT @Enivedtravels: Thank you for always making something out of nothing. Happy Father's Day, we appreciate and Value you. #HappyFathersDay2…",2022-06-19 09:21:48+00:00,"Benin-City, Nigeria"
26,Happy Father's day to Us♥️ https://t.co/8iI3tRTBl8,2022-06-19 09:21:48+00:00,South Africa
27,@TWEETORACLE Happy Father's Day,2022-06-19 09:21:48+00:00,Lagos 
28,"RT @jayythedope: To the simps playing fatherly roles in their relationships, happy Father’s day.",2022-06-19 09:21:48+00:00,
29,"RT @yojora: Happy Father’s Day to all Dads here, May continue to God ease your affairs and come through for you all the time.",2022-06-19 09:21:48+00:00,"Lagos, Nigeria"
